userid,firstname,lastname,date_of_birth,gender,dept,NomborKadPengenalan
1000,Tara,Murphy,15/4/1982,Male,Finance,820415-44-3031
1001,Sarah,Reyes,4/8/1967,Female,Quality,670804-33-4038
1002,Brandon,Lee,14/1/2000,Male,Quality,000114-33-3033
1003,Jonathan,Stone,22/7/1971,Female,Operations,710722-99-4040
1004,Alexandra,Lopez,24/5/1990,Male,Marketing,900524-88-3035
1005,Ethan,House,29/1/1975,Female,Information Technology,750129-77-4042
1006,Kim,Vega,29/11/2005,Female,Operations,051129-99-4044
1007,Matthew,Jones,13/7/1960,Male,Human Resources,600713-66-3037
1008,Paul,Smith,8/5/1992,Female,Finance,920508-44-4046
1009,Timothy,Holloway,9/4/1983,Male,Information Technology,830409-77-3039
1010,Harold,Villa,19/9/1975,Female,Marketing,750919-88-4048
1011,Edward,Cox,29/6/1996,Female,Human Resources,960629-66-4050
1012,Frederick,Cruz,9/3/1973,Male,Operations,730309-99-3041
1013,Jasmine,Alvarez,19/3/1971,Male,Human Resources,710319-66-3043
1014,Benjamin,Mason,9/7/1989,Male,Human Resources,890709-66-3045
1015,Adrienne,Rodriguez,5/9/2005,Female,Marketing,050905-88-4052
1016,Kristina,Daugherty,8/2/2001,Female,Marketing,010208-88-4054
1017,Ashley,Alexander,6/9/1978,Male,Information Technology,780906-77-3047
1018,Dana,Berry,29/7/2006,Male,Finance,060729-44-3049
1019,Sarah,Wolfe,28/10/1966,Female,Marketing,661028-88-4056
1020,Andrew,Shields,29/9/1958,Male,Information Technology,580929-77-3051
1021,Felicia,Jones,15/3/1972,Female,Quality,720315-33-4058
1022,James,Espinoza,4/7/2001,Female,Operations,010704-99-4060
1023,Ethan,Mitchell,28/5/1992,Female,Human Resources,920528-66-4062
1024,Brian,Stein,19/6/1966,Female,Human Resources,660619-66-4064
1025,Meagan,Wolf,6/7/1956,Male,Information Technology,560706-77-3053
1026,Robert,Frye,30/10/1970,Male,Finance,701030-44-3055
1027,Christopher,Fernandez,28/10/1962,Male,Finance,621028-44-3057
1028,Theodore,James,29/1/1994,Female,Marketing,940129-88-4066
1029,Tracy,Brown,14/4/1999,Female,Operations,990414-99-4068
1030,Michele,Jackson,17/8/1963,Male,Finance,630817-44-3059
